,src,dest
106,/wiki/Kanye_West,/wiki/Goodie_Mob
107,/wiki/Kanye_West,/wiki/Hip_hop_skit
108,/wiki/Kanye_West,/wiki/The_Notorious_B.I.G.
109,/wiki/Kanye_West,/wiki/Life_After_Death
110,/wiki/Kanye_West,/wiki/Mase
111,/wiki/Kanye_West,/wiki/Raekwon
112,/wiki/Kanye_West,/wiki/Eminem
113,/wiki/Kanye_West,/wiki/The_Blueprint
114,/wiki/Kanye_West,/wiki/Beanie_Sigel
115,/wiki/Kanye_West,/wiki/Freeway_(rapper)
116,/wiki/Kanye_West,/wiki/Cam%27ron
117,/wiki/Kanye_West,/wiki/Ludacris
118,/wiki/Kanye_West,/wiki/Alicia_Keys
119,/wiki/Kanye_West,/wiki/Janet_Jackson
120,/wiki/Kanye_West,/wiki/Capitol_Records
121,/wiki/Kanye_West,/wiki/Damon_Dash
122,/wiki/Kanye_West,/wiki/Record_Plant_Studios
123,/wiki/Kanye_West,/wiki/Through_the_Wire
124,/wiki/Kanye_West,/wiki/Mixtape
125,/wiki/Kanye_West,"/wiki/Portland,_Oregon"
126,/wiki/Kanye_West,/wiki/U2
127,/wiki/Kanye_West,/wiki/Vertigo_Tour
128,/wiki/Kanye_West,/wiki/Ol%27_Dirty_Bastard
129,/wiki/Kanye_West,/wiki/String_section
130,/wiki/Kanye_West,/wiki/Gospel_choir
131,/wiki/Kanye_West,/wiki/Programming_(music)
132,/wiki/Kanye_West,/wiki/Billboard_Hot_100
133,/wiki/Kanye_West,/wiki/Slow_Jamz
134,/wiki/Kanye_West,/wiki/Twista
135,/wiki/Kanye_West,/wiki/Jamie_Foxx
136,/wiki/Kanye_West,/wiki/Jesus_Walks
137,/wiki/Kanye_West,/wiki/RIAA_certification
138,/wiki/Kanye_West,/wiki/Grammy_Award_for_Album_of_the_Year
139,/wiki/Kanye_West,/wiki/Grammy_Award_for_Best_Rap_Album
140,/wiki/Kanye_West,/wiki/Brandy_(musician)
141,/wiki/Kanye_West,/wiki/Slum_Village
142,/wiki/Kanye_West,/wiki/Roseland_NYC_Live
143,/wiki/Kanye_West,/wiki/Trip_hop
144,/wiki/Kanye_West,/wiki/Portishead_(band)
145,/wiki/Kanye_West,/wiki/New_York_Philharmonic_Orchestra
146,/wiki/Kanye_West,/wiki/String_arrangement
147,/wiki/Kanye_West,/wiki/String_orchestra
148,/wiki/Kanye_West,/wiki/Film_score
149,/wiki/Kanye_West,/wiki/Jon_Brion
150,/wiki/Kanye_West,/wiki/American_Music_Awards_of_2004
151,/wiki/Kanye_West,/wiki/Gretchen_Wilson
152,/wiki/Kanye_West,/wiki/Hurricane_Katrina
153,/wiki/Kanye_West,/wiki/NBC
154,/wiki/Kanye_West,/wiki/A_Concert_for_Hurricane_Relief
155,/wiki/Kanye_West,/wiki/Mike_Myers
156,/wiki/Kanye_West,/wiki/George_W._Bush
157,/wiki/Kanye_West,/wiki/Crown_of_thorns
158,/wiki/Kanye_West,/wiki/Hip_hop_production
159,/wiki/Kanye_West,/wiki/Tempo
160,/wiki/Kanye_West,/wiki/Electronic_music
161,/wiki/Kanye_West,/wiki/1980s_in_music
162,/wiki/Kanye_West,/wiki/Arena_rock
163,/wiki/Kanye_West,/wiki/The_Rolling_Stones
164,/wiki/Kanye_West,/wiki/Led_Zeppelin
165,/wiki/Kanye_West,/wiki/Melody
166,/wiki/Kanye_West,/wiki/Chord_progression
167,/wiki/Kanye_West,/wiki/Tetralogy
168,/wiki/Kanye_West,/wiki/Folk_music
169,/wiki/Kanye_West,/wiki/Country_music
170,/wiki/Kanye_West,/wiki/Johnny_Cash
171,/wiki/Kanye_West,/wiki/50_Cent
172,/wiki/Kanye_West,/wiki/Curtis_(50_Cent_album)
173,/wiki/Kanye_West,/wiki/Stronger_(Kanye_West_song)
174,/wiki/Kanye_West,/wiki/Daft_Punk
175,/wiki/Kanye_West,/wiki/House_(music)
176,/wiki/Kanye_West,/wiki/Electronica
177,/wiki/Kanye_West,/wiki/Disco
178,/wiki/Kanye_West,/wiki/Electro_music
179,/wiki/Kanye_West,/wiki/XXL_(magazine)
180,/wiki/Kanye_West,/wiki/Hardcore_hip_hop
181,/wiki/Kanye_West,/wiki/Gangsta_rap
182,/wiki/Kanye_West,/wiki/Abdominoplasty
183,/wiki/Kanye_West,/wiki/Glow_in_the_Dark_Tour
184,/wiki/Kanye_West,/wiki/Auto-Tune
185,/wiki/Kanye_West,/wiki/Jesus_Walks_(Kanye_West_song)
186,/wiki/Kanye_West,"/wiki/Honolulu,_Hawaii"
